video_id,comment,clean_comment,label,label_id
vk2Ynj24qNA,Klo gw bisa milih kek nya g bkl milih tinggal di indo,klo gw bisa milih kek nya g bkl milih tinggal di indo,negative,0
0Sa4S97M-uM,"Bocil pada klenger, guru kaga bisa tik-tok&#39;an lagi, ortu rebutan hp Ama bocil buat pansos... 😂😂😂, sukurin... 😂😂😂,",bocil pada klenger guru kaga bisa tiktokan lagi ortu rebutan hp ama bocil buat pansos sukurin,positive,2
JrCe8CVR1KY,Ini tidak adil 😢😢😢,ini tidak adil,negative,0
hzDavp3DQo4,Hadeh akhirnya diblokir saya sudah capek sebagai orng yang melihat trend trend perusak otak terutama yang membuat karakter dari emoji saya tidak suka trennya karena kebanyakan karakternya ada yang 18+ atau tidak senonoh itu banyak anak kecil yang nonton dan yang paling buat saya kesal karena yang buat trennya juga anak kecil hadeh capek banget deh,hadeh akhirnya diblokir saya sudah capek sebagai orng yang melihat trend trend perusak otak terutama yang membuat karakter dari emoji saya tidak suka trennya karena kebanyakan karakternya ada yang 18 atau tidak senonoh itu banyak anak kecil yang nonton dan yang paling buat saya kesal karena yang buat trennya juga anak kecil hadeh capek banget deh,positive,2
vk2Ynj24qNA,Uuh dasar pemerintah gak jelas!!!!,uuh dasar pemerintah gak jelas,negative,0
RsKRrIp--Mg,"What besok kan tanggal 28<br>Gk bisa nonton shalawat , mewarnai , <br>Hafalan Al-quran dan belajar<br><br>Lebih baik sih di bawah umur 10 tahun aj di batasinnya<br><br>Pokoknya aku gk setuju",what besok kan tanggal 28gk bisa nonton shalawat mewarnai hafalan alquran dan belajarlebih baik sih di bawah umur 10 tahun aj di batasinnyapokoknya aku gk setuju,negative,0
aZEtsruDoQc,Animasi kreatif semua hilang😢😢😢,animasi kreatif semua hilang,negative,0
Hy5rx58GES4,Saya setuju tapi YouTube jangan karna cita cita saya jadi YouTubers dan juga di akun kedua saya udah hampir 100 subscribe dan juga biarkan anak anak bermain YouTube karna tidak ada tontonan lain,saya setuju tapi youtube jangan karna cita cita saya jadi youtubers dan juga di akun kedua saya udah hampir 100 subscribe dan juga biarkan anak anak bermain youtube karna tidak ada tontonan lain,negative,0
_M85Z0Beq_g,Pemerintah lebih gila dari orang gila,pemerintah lebih gila dari orang gila,negative,0
19eKDDkJt6w,Jangan di blokir😭😡,jangan di blokir,negative,0
tuaZNgn2rcc,Assalamualaikum komdigi kalo liat ini atongga siapa kek<br>Aku ingin memberi pendapatku<br>Sejujurnya menurut saya ini tidak betul betul berguna karena banyak anak anak memiliki bakat dari media sosial seperti animasi coding dll kebetulan saya lagi belajar animasi di Roblox studio jadi mohon revisi ulang peraturannya,assalamualaikum komdigi kalo liat ini atongga siapa kekaku ingin memberi pendapatkusejujurnya menurut saya ini tidak betul betul berguna karena banyak anak anak memiliki bakat dari media sosial seperti animasi coding dll kebetulan saya lagi belajar animasi di roblox studio jadi mohon revisi ulang peraturannya,negative,0
2BdXibzPPyc,Kami sudah muak. <br>Putus asa BESAR!<br>baiknya mereka masuk neraka 🔥.<br><br>Kerjanya bikin anak kecil frustasi doang lu 😤,kami sudah muak putus asa besarbaiknya mereka masuk neraka kerjanya bikin anak kecil frustasi doang lu,negative,0
2YHfX7PzVNM,Setuju 100%,setuju 100,positive,2
RsKRrIp--Mg,Jahat bgt padahal dengan media sosial bisa belajar loh 😭,jahat bgt padahal dengan media sosial bisa belajar loh,negative,0
p8p-sAq_hhI,Dasar asv pemerintah,dasar asv pemerintah,negative,0
RsKRrIp--Mg,Kenapa tidak di bawah 13,kenapa tidak di bawah 13,negative,0
2BdXibzPPyc,Saya setuju bangat,saya setuju bangat,positive,2
LSrWXE05LNY,Bu kalau sampai melanggar atura akan dikasih hukuman ap,bu kalau sampai melanggar atura akan dikasih hukuman ap,neutral,1
19eKDDkJt6w,"PEMERINTAH PLEASE DI BAWAH 6 TAHUN AJA, INI HP KITA UNTUK BELAJAR JUGA BUKAN CUMA UNTUK SOSMED",pemerintah please di bawah 6 tahun aja ini hp kita untuk belajar juga bukan cuma untuk sosmed,negative,0
dVTaBKZLsds,Usia itu kan cuma. Kalau yg daftar masih usia 14 tahun tinggal rubah tanggal dan tahun sudah selesai jadi 18th +,usia itu kan cuma kalau yg daftar masih usia 14 tahun tinggal rubah tanggal dan tahun sudah selesai jadi 18th,negative,0
2YHfX7PzVNM,masa genz umur 13 15 nonton Coco melon 😂,masa genz umur 13 15 nonton coco melon,negative,0
xOLutbfafBo,Paling nanti ada yang tantrum gak ada hp😭😭 sok asik anyjir,paling nanti ada yang tantrum gak ada hp sok asik anyjir,neutral,1
TdyE62mSXx0,kecewa gua eh pemerintah kenapa gak di tutup ff ml fapji tuh banyak kaya memebunuh memukul tapi Roblox gara - gara Roblox adik gua selalu rangking 1 karna di main matematika nah kalo mau liat aplilasi di liat apakah bagus apa tidak judol yang gak bagus malam gak ditutup 😠😠😠,kecewa gua eh pemerintah kenapa gak di tutup ff ml fapji tuh banyak kaya memebunuh memukul tapi roblox gara gara roblox adik gua selalu rangking 1 karna di main matematika nah kalo mau liat aplilasi di liat apakah bagus apa tidak judol yang gak bagus malam gak ditutup,negative,0
C8XBDjbPNNU,Aturan warga di batasi sementara Mentri mencuri ngak di batasi...peraturan taik kucing .,aturan warga di batasi sementara mentri mencuri ngak di batasiperaturan taik kucing,negative,0
hzDavp3DQo4,belokir situs judol dan pinjol buk. gak perlu ngoceh sana sini sok sok bersih sperti janji anda,belokir situs judol dan pinjol buk gak perlu ngoceh sana sini sok sok bersih sperti janji anda,neutral,1
0Sa4S97M-uM,"Sampe hari ini belum kena Ban akun adek saya 😅 game FF, Roblox, ML, FIFA, dan medsos lainnya , dipercepat lebih baik",sampe hari ini belum kena ban akun adek saya game ff roblox ml fifa dan medsos lainnya dipercepat lebih baik,positive,2
V_mvjaonG-w,"terobosan yg bijaksana,harus ada verifikasi usia di tiap masuk,sesuaikan dgn pendaftaran no HP pemilik,mantap bu mentri😊",terobosan yg bijaksanaharus ada verifikasi usia di tiap masuksesuaikan dgn pendaftaran no hp pemilikmantap bu mentri,positive,2
LSrWXE05LNY,jangan begitu😊,jangan begitu,negative,0
tuaZNgn2rcc,Marathon reza arab tuh blokir juga..gak bener bahasa nya..!!!,marathon reza arab tuh blokir jugagak bener bahasa nya,positive,2
viGBwFO3nDA,Sia²anjir gw beli hp guna duit gw bagus kita demo,siaanjir gw beli hp guna duit gw bagus kita demo,negative,0
V_mvjaonG-w,Tapi situs judol masih boleh kan? Pemerintah koplak,tapi situs judol masih boleh kan pemerintah koplak,neutral,1
OTk4HFU-xn8,kalau memang diterapkan harusnya disosialisasikan terlebih dahulu kepada masyarakat setelah disetujui baru boleh,kalau memang diterapkan harusnya disosialisasikan terlebih dahulu kepada masyarakat setelah disetujui baru boleh,neutral,1
NzMXdwZm8B0,"Alhamdulillah ,.<br>Saya sangat setuju dengan aturan ini ,. Maju terus Indonesia ku ,. Untuk anak-anakku yang sabar ya ini untuk kebaikan kalian ❤🤗",alhamdulillah saya sangat setuju dengan aturan ini maju terus indonesia ku untuk anakanakku yang sabar ya ini untuk kebaikan kalian,positive,2
lM-QZ4uCXuk,Pemerintah sio asik,pemerintah sio asik,negative,0
LFfRhLKHdJA,"Walah dah terlambat,,, ganti ide yg baru dan cemerlang",walah dah terlambat ganti ide yg baru dan cemerlang,negative,0
hzDavp3DQo4,Anak aman✅ anak stres👺,anak aman anak stres,negative,0
vk2Ynj24qNA,terus bocil bocil yg biasa Belajar lewat YouTube gimana?,terus bocil bocil yg biasa belajar lewat youtube gimana,negative,0
0Sa4S97M-uM,Kenapa saya cek di hp anak belum ada yg nonaktif atau terblokir game2 tik tok Instagram semua akun online masih jalan normal seperti biasa,kenapa saya cek di hp anak belum ada yg nonaktif atau terblokir game2 tik tok instagram semua akun online masih jalan normal seperti biasa,positive,2
LFfRhLKHdJA,"Semoga bisa diimplementasikan, bukan sekedar cita cita murahan sekelas negara 😂😂😂😂😂",semoga bisa diimplementasikan bukan sekedar cita cita murahan sekelas negara,positive,2
lM-QZ4uCXuk,otakmu ketinggalan dmn? kekuatan net indo sudah mendunia kau hancurkan,otakmu ketinggalan dmn kekuatan net indo sudah mendunia kau hancurkan,negative,0
C8XBDjbPNNU,"Seharusnya KONTENNYA diblok, bukan USERNYA",seharusnya kontennya diblok bukan usernya,negative,0
aZEtsruDoQc,Demoooo😡😡😡🤬🤬🤬😤😤😤,demoooo,negative,0
Hy5rx58GES4,Gue GK setuju banget umur gua 10 kita tu cuma mau hiburan kali kita tu mau bahagia tau GK lu,gue gk setuju banget umur gua 10 kita tu cuma mau hiburan kali kita tu mau bahagia tau gk lu,negative,0
QDj0g7Xw2rg,Pemerintah jahanam kenapa malah medsos yang diblokir bukannya judol🤬🤬🤬🤬🤬🤬,pemerintah jahanam kenapa malah medsos yang diblokir bukannya judol,negative,0
R1hQwelEGvU,Diblokir pun gak berguna karena anak anak dapat membuat akun baru dengan umur 16 tahun keatas.,diblokir pun gak berguna karena anak anak dapat membuat akun baru dengan umur 16 tahun keatas,negative,0
8i7X3KrGeF0,Dari pada ngurusin hp kami mendingan urusin itu judi online soal nya sudah mwmbuat orang orang terjerumus ke ambang kemiskinan kasihan juga keluarga yang salah satu anggota keluarga nya menjadi korban dari judi online yang meresahkan😢😢😢,dari pada ngurusin hp kami mendingan urusin itu judi online soal nya sudah mwmbuat orang orang terjerumus ke ambang kemiskinan kasihan juga keluarga yang salah satu anggota keluarga nya menjadi korban dari judi online yang meresahkan,negative,0
KFR9jjVi1D4,"Alhamdulillah..anak2 terutama muslim mending hafalan Al quran, blajar bahasa Arab, bhs inggris",alhamdulillahanak2 terutama muslim mending hafalan al quran blajar bahasa arab bhs inggris,positive,2
C8XBDjbPNNU,Medsos yg  ga manfaat di Bent aja klo bener2 care sama masa depan anak bangsa,medsos yg ga manfaat di bent aja klo bener2 care sama masa depan anak bangsa,positive,2
fX2bE5ecHy4,!!?!?!?!?!?!? Gimana mengatasinya.. Kan di pengaturan bisa dirubah Untuk Ttg Lahir nya.???? 😅,gimana mengatasinya kan di pengaturan bisa dirubah untuk ttg lahir nya,neutral,1
lM-QZ4uCXuk,bagaimana dengan YouTube?! anak anak mencari tutorial untuk hal hal yang ingin anak anak lakukan!.,bagaimana dengan youtube anak anak mencari tutorial untuk hal hal yang ingin anak anak lakukan,negative,0
0Sa4S97M-uM,Rata rata semua di komentar ini hanya bocil bocil yang kepansan yang mendegar berita baru ini.,rata rata semua di komentar ini hanya bocil bocil yang kepansan yang mendegar berita baru ini,neutral,1
vk2Ynj24qNA,"Pemerintah agak lain, malah medsos sama game roblox pulak dinonaktifkan, kita ini gak mau kayak korea utara.....",pemerintah agak lain malah medsos sama game roblox pulak dinonaktifkan kita ini gak mau kayak korea utara,negative,0
Hy5rx58GES4,Gak boleh kalau aplikasinya kami di Batasin Batasin noh judol sama uang pajak kami,gak boleh kalau aplikasinya kami di batasin batasin noh judol sama uang pajak kami,negative,0
fX2bE5ecHy4,"Sini aku ada saran aku bermain game hanya 10 menit, lebih baik umur diatas 11 tahun dan dibawah 20 tahun saja yang tidak diperbolehkan dia krna kan mereka lebih suka ngomong kasar daripadan umur dibawah itu karena anak kecil belum tahu apa²",sini aku ada saran aku bermain game hanya 10 menit lebih baik umur diatas 11 tahun dan dibawah 20 tahun saja yang tidak diperbolehkan dia krna kan mereka lebih suka ngomong kasar daripadan umur dibawah itu karena anak kecil belum tahu apa,negative,0
viGBwFO3nDA,bener banget jir pemerintah,bener banget jir pemerintah,positive,2
aZEtsruDoQc,"Urusin koruptor noh, koruptor aja bikin masalah, malah urusin youtube anak anak, bagaimana dengan anak anak yang bercita cita menjadi youtuber?",urusin koruptor noh koruptor aja bikin masalah malah urusin youtube anak anak bagaimana dengan anak anak yang bercita cita menjadi youtuber,negative,0
OBb8iLYgMu4,Jagan plisssssasa 😢😢😢😢😢😢😢😢😢😢😢 plisssssss Masyarakat,jagan plisssssasa plisssssss masyarakat,negative,0
lM-QZ4uCXuk,Batalin🙅🙅🙅🙅🙅🙅🙅,batalin,negative,0
NzMXdwZm8B0,Kenape plua kene anak Indonesia yaang kena di band? Kenape tk anak negara yang lain? Saye sebagai anak Malaysia pun tk setuju drngan berita ni! Tk kan anak umur 15 14 dan 13 juga kenak band? Anak² ade juga yang belajar dari YouTube atau sosmed yang lainnya! Jadi kan sosmad tu tk payah di band apalah!🤬,kenape plua kene anak indonesia yaang kena di band kenape tk anak negara yang lain saye sebagai anak malaysia pun tk setuju drngan berita ni tk kan anak umur 15 14 dan 13 juga kenak band anak ade juga yang belajar dari youtube atau sosmed yang lainnya jadi kan sosmad tu tk payah di band apalah,negative,0
JrCe8CVR1KY,pemerintah nya enak tinggal nyuruh nyuruh 😡😏<br><br>orang nya gak bisa buka sosmed media sosial padalan sosmed itu penting untuk pengetahuan pelajaran bagi umur 16 youtuber pun gak bisa buka youtuber 🤨😁😁😄,pemerintah nya enak tinggal nyuruh nyuruh orang nya gak bisa buka sosmed media sosial padalan sosmed itu penting untuk pengetahuan pelajaran bagi umur 16 youtuber pun gak bisa buka youtuber,negative,0
iLERE4VmtZc,Game online nya juga minta tolong dibatasi,game online nya juga minta tolong dibatasi,positive,2
hzDavp3DQo4,Emang kenapa sih harus di band? Semua manusia punya hak masing masing untul menonton yang belikan ponsel juga orang tua nya bukan anda dan mengapa harus ada peraturan ini kalo gk terima yaudh akun anak saya susah di log in loh! Kalo sampe 28 hari belum log in semua akun akan di hapus bank anak saya nanti kehapus gimana bisa anak saya berjualan lagi balikin gak!,emang kenapa sih harus di band semua manusia punya hak masing masing untul menonton yang belikan ponsel juga orang tua nya bukan anda dan mengapa harus ada peraturan ini kalo gk terima yaudh akun anak saya susah di log in loh kalo sampe 28 hari belum log in semua akun akan di hapus bank anak saya nanti kehapus gimana bisa anak saya berjualan lagi balikin gak,negative,0
R1hQwelEGvU,Ya bagus sih kayak begini. TAPI HAPUS TU JUDOL 😡 ini tak mikir apa 😾👈🏻,ya bagus sih kayak begini tapi hapus tu judol ini tak mikir apa,positive,2
C8XBDjbPNNU,Oh Begini Aja Komdigi Untuk Youtube Original Untung yg Berkeluarga dan Punya Dikasih Kode Sandi Aja Bisa Pola Bisa Nomor Nomor Akun.,oh begini aja komdigi untuk youtube original untung yg berkeluarga dan punya dikasih kode sandi aja bisa pola bisa nomor nomor akun,positive,2
QDj0g7Xw2rg,Ayo kita serbu kita ke kantor atau rumah pemerintah gw g mau g g g klo semua nya tantrum 😭👍 umur ku baru 9 🥲,ayo kita serbu kita ke kantor atau rumah pemerintah gw g mau g g g klo semua nya tantrum umur ku baru 9,negative,0
0Sa4S97M-uM,Tolong jgn berbelit-belit cukup memutuskan aplikasi mobilezen selesai.hanya permainan mobliezen yg bikin anak itu kecanduan tiada yg lain.,tolong jgn berbelitbelit cukup memutuskan aplikasi mobilezen selesaihanya permainan mobliezen yg bikin anak itu kecanduan tiada yg lain,neutral,1
iLERE4VmtZc,Jangan 16 tahun Mestinya di larang dibawah 25 tahun biar fokus pendidikan,jangan 16 tahun mestinya di larang dibawah 25 tahun biar fokus pendidikan,negative,0
