video_id,comment,clean_comment,score,label,label_id
DfYhY-bKsZI,Ah ela gw baru umur 8 thun ini co co😢,ah ela gw baru umur 8 thun ini co co,-2,negative,0
DfYhY-bKsZI,Saya tidak terima!!!!!!! Facebook YouTube nggak boleh diblokir harus dijalanin lagi kalau belajar membuat kepala pusing atau stress harus dihentikan pemerintah 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,saya tidak terima facebook youtube nggak boleh diblokir harus dijalanin lagi kalau belajar membuat kepala pusing atau stress harus dihentikan pemerintah,-34,negative,0
DfYhY-bKsZI,Serah lah bodoamat akuh,serah lah bodoamat akuh,-7,negative,0
DfYhY-bKsZI,"Klo dihapus demo gak sihhh, yg demo kumpul<br>👇",klo dihapus demo gak sihhh yg demo kumpul,-6,negative,0
DfYhY-bKsZI,Bukan nya hapus korup atau judi malah hapus sosmed di bawah 16 bodo,bukan nya hapus korup atau judi malah hapus sosmed di bawah 16 bodo,-19,negative,0
DfYhY-bKsZI,Mantap,mantap,5,positive,1
DfYhY-bKsZI,Pala kau lah terbaik,pala kau lah terbaik,5,positive,1
DfYhY-bKsZI,Dasar  pemrintah  gatau diri 😡😡😡😡🤬😡😡🤬😡,dasar pemrintah gatau diri,-2,negative,0
DfYhY-bKsZI,Ayo hujat habis habisan😡😡😡🤬😡🤬🤬😡😡😡,ayo hujat habis habisan,-4,negative,0
DfYhY-bKsZI,"Terus gue ulangan pake apa?,gue ulangan pake hp anjg,itu juga disuruh cari jawaban dimedsos!!",terus gue ulangan pake apa gue ulangan pake hp anjg itu juga disuruh cari jawaban dimedsos,-20,negative,0
DfYhY-bKsZI,iya lah anak anak di urus URUS TUH KORUPTOR YANG ADA DI NEGRI BUKAN NYA BIKIN PERATURAN LAGI LU KALO JADI PEJABAT MENDING BELAJAR LAGI JUDI AJA GAK LU URUS GIMANA NANTI GENERASI MUDA YANG LAIN DAH TAU MAU WW3 JIR,iya lah anak anak di urus urus tuh koruptor yang ada di negri bukan nya bikin peraturan lagi lu kalo jadi pejabat mending belajar lagi judi aja gak lu urus gimana nanti generasi muda yang lain dah tau mau ww3 jir,-54,negative,0
DfYhY-bKsZI,Sampe tanggal berapa nih😭😭😭😭😭,sampe tanggal berapa nih,-4,negative,0
DfYhY-bKsZI,Klo anak di bawah 16 tahun gak bisa nonton   youtube  terus aku belajar bahasa Russia nya gemana,klo anak di bawah 16 tahun gak bisa nonton youtube terus aku belajar bahasa russia nya gemana,-5,negative,0
DfYhY-bKsZI,Dasar gatau diri😡😡😡😡🤬🤬😡😡😡🤬😡🤬🤬😡😡🤬,dasar gatau diri,-2,negative,0
DfYhY-bKsZI,Iya peraturan nya sangat jelek😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬😡🤬🤬😡🤬😡🤬😡🤬🤬🤬🤬😡😡😡😡😡😡🤬🤬😡🤬🤬😡🤬🤬🤬😡🤬🤬😡😡😡😡🤬,iya peraturan nya sangat jelek,-10,negative,0
DfYhY-bKsZI,Peraturan nya jelek 😡😡😡🤬😡🤬🤬😡🤬😡🤬🤬😡🤬😡,peraturan nya jelek,-5,negative,0
DfYhY-bKsZI,Dasar lu ya😡,dasar lu ya,4,positive,1
DfYhY-bKsZI,Lu emang mau demo lagi😡,lu emang mau demo lagi,-7,negative,0
DfYhY-bKsZI,Seharusnya kalau mau anak anak aman Ben atau blokir akun yang berbahaya,seharusnya kalau mau anak anak aman ben atau blokir akun yang berbahaya,-20,negative,0
DfYhY-bKsZI,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭plissssssssssssssss jangan di hapus,plissssssssssssssss jangan di hapus,-6,negative,0
DfYhY-bKsZI,Harus nya di ajarin yg ilegal atau yg bahaya dan yg aman dan GK bahaya bukan seenaknya doang di blockir lu tuh mau GK di berhentiin aja jadi pemerintah seenak nya kita rakyat biasa GK mau kan?,harus nya di ajarin yg ilegal atau yg bahaya dan yg aman dan gk bahaya bukan seenaknya doang di blockir lu tuh mau gk di berhentiin aja jadi pemerintah seenak nya kita rakyat biasa gk mau kan,-14,negative,0
DfYhY-bKsZI,"Kenapa gak memblokir judi, korupsi malah melarang anak di bawah 16 tahun",kenapa gak memblokir judi korupsi malah melarang anak di bawah 16 tahun,-10,negative,0
DfYhY-bKsZI,Halah gua aja ya nonton biasa kayak penting info ada apa (CONTOH) katanya ada gerhana bulan nah kan kita gak tahu jadi gerhana yang kita tunggu tunggu malah Terlewat <br>Dan kata kata hari ini : kenapa Indonesia tidak maju karena fideo yang penting untuk anak anak seperti gerhana bulan atau matematika tidak bisah tau orang yang mau liat kereta taupun kendaraan lain gitu <br>. Kenapa gak begini urusin judi  dulu nah ke. 2. Video yang tidak pantas untuk di tonton anak anak harus nya di hapus atau di praifet gitu loh 🤬🤬🤬🤬🤬🤬🙏🤬🤬🤬😑😅,halah gua aja ya nonton biasa kayak penting info ada apa contoh katanya ada gerhana bulan nah kan kita gak tahu jadi gerhana yang kita tunggu tunggu malah terlewat dan kata kata hari ini kenapa indonesia tidak maju karena fideo yang penting untuk anak anak seperti gerhana bulan atau matematika tidak bisah tau orang yang mau liat kereta taupun kendaraan lain gitu kenapa gak begini urusin judi dulu nah ke 2 video yang tidak pantas untuk di tonton anak anak harus nya di hapus atau di praifet gitu loh,-117,negative,0
DfYhY-bKsZI,Hoooo pemerintah jahat hoooo!!! 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡👎🥀🥀👎🥀🥀,hoooo pemerintah jahat hoooo,-4,negative,0
DfYhY-bKsZI,Pemerintah jahat hoooooooooo👎👎👎👎👎👎👎👎👎👎🥀🥀🥀🥀🥀🥀🥀🥀😡😡😡😡😡😡😡,pemerintah jahat hoooooooooo,-4,negative,0
DfYhY-bKsZI,Lu kayak kabing jangkrikkk,lu kayak kabing jangkrikkk,-3,negative,0
DfYhY-bKsZI,Jual ibunya😂😂😂😂😂😂,jual ibunya,1,positive,1
DfYhY-bKsZI,Dasar orang dewasa,dasar orang dewasa,2,positive,1
DfYhY-bKsZI,Tapi jangan juga di nonaktifkan,tapi jangan juga di nonaktifkan,-3,negative,0
DfYhY-bKsZI,"<a href=""https://www.youtube.com/watch?v=DfYhY-bKsZI&amp;t=127"">2:07</a>  IBUNYA DIBAYAR!!!",ibunya dibayar,3,positive,1
DfYhY-bKsZI,Aku diatas umur 7/8 bang,aku diatas umur 7 8 bang,-3,negative,0
DfYhY-bKsZI,Kami tidak setujuh tidak setuju,kami tidak setujuh tidak setuju,-7,negative,0
DfYhY-bKsZI,SAYA TIDAK TERIMA!!!!!!!!!!!!!,saya tidak terima,-10,negative,0
DfYhY-bKsZI,Lebih baik anak anak tidak di boleh membuat konten yg tidak pantas untuk anak di bawah 16 tahun gimana ya hanya menyarankan,lebih baik anak anak tidak di boleh membuat konten yg tidak pantas untuk anak di bawah 16 tahun gimana ya hanya menyarankan,-10,negative,0
DfYhY-bKsZI,Korupsi no yg di kurangi😂😂,korupsi no yg di kurangi,-4,negative,0
DfYhY-bKsZI,Saya mau nya Roblox saja di off yt di online siapa saja,saya mau nya roblox saja di off yt di online siapa saja,-12,negative,0
DfYhY-bKsZI,Gw gk setuju kenapa yutube sama roblox sama tiktok dan sosmed gw gk setuju anj😡wtf gw gk setujuuuuuuuuuuu kenapa harus seperti ini kenapa harus di blokir kita semua punya hal masing masing itu tergantung dewasa nya kenapa ha aku bilang kenapa kamu buka orang penting kesian orang yang di bawah umur16 tahun kalo mau kasih praturan itu mikir napa woi kenapa harus yutube sama tik tok sama roblox woi awas kalo gk baca lu lo bukan orang penting,gw gk setuju kenapa yutube sama roblox sama tiktok dan sosmed gw gk setuju anj wtf gw gk setujuuuuuuuuuuu kenapa harus seperti ini kenapa harus di blokir kita semua punya hal masing masing itu tergantung dewasa nya kenapa ha aku bilang kenapa kamu buka orang penting kesian orang yang di bawah umur16 tahun kalo mau kasih praturan itu mikir napa woi kenapa harus yutube sama tik tok sama roblox woi awas kalo gk baca lu lo bukan orang penting,-32,negative,0
DfYhY-bKsZI,Trs teman gw yang baru umur 14 THN gimana dia kan ulangan pake hp aneh,trs teman gw yang baru umur 14 thn gimana dia kan ulangan pake hp aneh,-14,negative,0
DfYhY-bKsZI,Tapi ini sawit makin banyak koruptor gak di usir terus masih banyak gw kasian Ama bocah bocah,tapi ini sawit makin banyak koruptor gak di usir terus masih banyak gw kasian ama bocah bocah,-11,negative,0
DfYhY-bKsZI,Nanti sepi sepi,nanti sepi sepi,-8,negative,0
DfYhY-bKsZI,Woi gak setuju tim gak setuju kumpul di sini kita ramaikan,woi gak setuju tim gak setuju kumpul di sini kita ramaikan,5,positive,1
NzMXdwZm8B0,Woi para pemimpin ntar jangan percaya ya soalnya itu semua bohong,woi para pemimpin ntar jangan percaya ya soalnya itu semua bohong,-6,negative,0
NzMXdwZm8B0,TIDAK ROBLOX  DAN YUTUB,tidak roblox dan yutub,-5,negative,0
NzMXdwZm8B0,Ah elah judol gk di ban? Wah sangat bagus!,ah elah judol gk di ban wah sangat bagus,-12,negative,0
NzMXdwZm8B0,Dodol kenapa PO gaboleh supaya tidak stress di rumah ih gimana kita mau nonton apa 🤬🤬🤬🤬🤬,dodol kenapa po gaboleh supaya tidak stress di rumah ih gimana kita mau nonton apa,-8,negative,0
NzMXdwZm8B0,Mana nih Woi wes kelewatan sudah 28 Maret 2026,mana nih woi wes kelewatan sudah 28 maret 2026,-2,negative,0
NzMXdwZm8B0,Cok hoax cok,cok hoax cok,-5,negative,0
NzMXdwZm8B0,Koruptor giliran judinggak dibasmi,koruptor giliran judinggak dibasmi,3,positive,1
NzMXdwZm8B0,Nanggung banget 16 tahun tambahin 2 tahun kek jadinya 18 tahun. Kalo 16 tahun anak2 belum matang dalam hidup walaupun menurut persepsi orang umur 16 tahun udah matang tapi menurut ku kurang yang benar tuh 18 tahun soalnya matang dalam hidup,nanggung banget 16 tahun tambahin 2 tahun kek jadinya 18 tahun kalo 16 tahun anak2 belum matang dalam hidup walaupun menurut persepsi orang umur 16 tahun udah matang tapi menurut ku kurang yang benar tuh 18 tahun soalnya matang dalam hidup,-8,negative,0
NzMXdwZm8B0,kapan diterapkan dan bagaimana langkah Hukumnya?,kapan diterapkan dan bagaimana langkah hukumnya,4,positive,1
NzMXdwZm8B0,"Mana buktinya katanya tanggal 28 Maret mau ngebatasi umur di aplikasi sosmed tapi aku dah lama nunggu ehh Mana hasilnya gaada pembohong publik😡😡🤬🤬 <a href=""https://www.youtube.com/watch?v=NzMXdwZm8B0&amp;t=96"">1:36</a>",mana buktinya katanya tanggal 28 maret mau ngebatasi umur di aplikasi sosmed tapi aku dah lama nunggu ehh mana hasilnya gaada pembohong publik,-26,negative,0
NzMXdwZm8B0,Bohong,bohong,-5,negative,0
NzMXdwZm8B0,Kena Pasih harus begitu 🤬🤬🤬🤬🤬🤬🤬😡😡😡😡😡😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡👎👎👎👎,kena pasih harus begitu,-8,negative,0
NzMXdwZm8B0,Tapi kalian harus sekolah ya,tapi kalian harus sekolah ya,2,positive,1
NzMXdwZm8B0,Lah mana kok gak ada??,lah mana kok gak ada,3,positive,1
NzMXdwZm8B0,Apakah kalian setuju kalau ff di bokir,apakah kalian setuju kalau ff di bokir,-4,negative,0
NzMXdwZm8B0,Kenape plua kene anak Indonesia yaang kena di band? Kenape tk anak negara yang lain? Saye sebagai anak Malaysia pun tk setuju drngan berita ni! Tk kan anak umur 15 14 dan 13 juga kenak band? Anak² ade juga yang belajar dari YouTube atau sosmed yang lainnya! Jadi kan sosmad tu tk payah di band apalah!🤬,kenape plua kene anak indonesia yaang kena di band kenape tk anak negara yang lain saye sebagai anak malaysia pun tk setuju drngan berita ni tk kan anak umur 15 14 dan 13 juga kenak band anak ade juga yang belajar dari youtube atau sosmed yang lainnya jadi kan sosmad tu tk payah di band apalah,-56,negative,0
NzMXdwZm8B0,Gak betul,gak betul,4,positive,1
NzMXdwZm8B0,Hoax udah tanggal 28 maret 2026,hoax udah tanggal 28 maret 2026,-9,negative,0
NzMXdwZm8B0,Lah ini udah tanggal 28 Maret kok akun Roblox aku masih bisa,lah ini udah tanggal 28 maret kok akun roblox aku masih bisa,-5,negative,0
NzMXdwZm8B0,Roblox harus tetap ada di tanggal 28 maret dan YouTube tiktok istragam 😡😡😡,roblox harus tetap ada di tanggal 28 maret dan youtube tiktok istragam,-9,negative,0
NzMXdwZm8B0,"Aku tau ini baik untuk kita semua,tapi ada resiko juga yang malah membuat anak jadi susah berkembang.contoh contohnya seperti:<br><br>•Kreator kecil menghilang,Banyak anak kecil merintis mencari duit kecil kecilan,Dengan pemblokiran ini menimbulkan anak kecil mulai kehilang potensi besarnya.<br><br>•Edukasi jadi lebih terbatas,Banyak video video edukasi yang membantu anak bangsa kita contoh video edukasi,tutorial,dan sebagainya.Dengan pemblokiran ini menimbulkan anak kecil jadi susah dapat informasi atau bahkan harus cari informasi dari jauh banget.<br><br>•Platform lain lain akan mulai menghilang sedikit demi sedikit,Banyak sekali platform platform yang di isi anak kecil,Dengan kebijakan ini membuat platform tersebut mulai menghilang atau lebih parahnya platfor tersebut akan meninggalkan indonesia dan beralih ke negara lain yang membuat potensi indonesia berkurang drastis.<br><br>Pendapat aku soal kebijakan ini adalah:<br><br>Jangan diblokir tapi edukasi mendalam kepada anak anak,Contoh buat guru naik gaji dan mengajarkan anak untuk mengetahui apa bahaya media sosial.<br><br>Sekian denga saya mohon maaf aku bukan ahli atau semacamnya ini hanya perasaan dan pendapat saya saja mohon di dengar dan semoga bisa di komunikasikan.",aku tau ini baik untuk kita semua tapi ada resiko juga yang malah membuat anak jadi susah berkembang contoh contohnya seperti kreator kecil menghilang banyak anak kecil merintis mencari duit kecil kecilan dengan pemblokiran ini menimbulkan anak kecil mulai kehilang potensi besarnya edukasi jadi lebih terbatas banyak video video edukasi yang membantu anak bangsa kita contoh video edukasi tutorial dan sebagainya dengan pemblokiran ini menimbulkan anak kecil jadi susah dapat informasi atau bahkan harus cari informasi dari jauh banget platform lain lain akan mulai menghilang sedikit demi sedikit banyak sekali platform platform yang di isi anak kecil dengan kebijakan ini membuat platform tersebut mulai menghilang atau lebih parahnya platfor tersebut akan meninggalkan indonesia dan beralih ke negara lain yang membuat potensi indonesia berkurang drastis pendapat aku soal kebijakan ini adalah jangan diblokir tapi edukasi mendalam kepada anak anak contoh buat guru naik gaji dan mengajarkan anak untuk mengetahui apa bahaya media sosial sekian denga saya mohon maaf aku bukan ahli atau semacamnya ini hanya perasaan dan pendapat saya saja mohon di dengar dan semoga bisa di komunikasikan,-182,negative,0
NzMXdwZm8B0,Utamakan judi oon,utamakan judi oon,-5,negative,0
NzMXdwZm8B0,Hoax banget padahal,hoax banget padahal,-4,negative,0
NzMXdwZm8B0,Saya 11 tahun kok masih bisa bisa aja,saya 11 tahun kok masih bisa bisa aja,-2,negative,0
NzMXdwZm8B0,itu bohongan,itu bohongan,-2,negative,0
NzMXdwZm8B0,Ter baik saya tau  bukan saya budek kalian saja yang gitu,ter baik saya tau bukan saya budek kalian saja yang gitu,-19,negative,0
NzMXdwZm8B0,Wah wah mau demo lagi😅,wah wah mau demo lagi,-13,negative,0
NzMXdwZm8B0,WOYY PEMERINTAH URUSIN JUDOL DULUUU KAN JUGA ADA GAME DI ROBLOX YANG BAGUSSSSS HADEHHHHHH#@@^@^@^@(@-^@@&amp;◇•♤•■\■%^%×^☆■\♤●■••■\♤&amp;#-\••♤♤••,woyy pemerintah urusin judol duluuu kan juga ada game di roblox yang bagusssss hadehhhhhh,-6,negative,0
NzMXdwZm8B0,Kan di roblox juga ngajarin kita bertahan hidup di youtube jg belajar gambar dan lain lainnya🤬🤬🤬🤬🤬🤬🤬<br>      <br>👇🏻<br> 👇🏻,kan di roblox juga ngajarin kita bertahan hidup di youtube jg belajar gambar dan lain lainnya,-12,negative,0
NzMXdwZm8B0,Yok Kita Demo!!!!!!😡😡😡😡😡😡,yok kita demo,-3,negative,0
NzMXdwZm8B0,"Menurutku, minimal urus dulu negara kaya urusin tikus koruptor, bukan malah bikin peraturan kaya gini, lagian ada juga yang belajar d medsos, kaya youtube, tiktok, ya walaupun banyak yang menyalahgunakan",menurutku minimal urus dulu negara kaya urusin tikus koruptor bukan malah bikin peraturan kaya gini lagian ada juga yang belajar d medsos kaya youtube tiktok ya walaupun banyak yang menyalahgunakan,-24,negative,0
NzMXdwZm8B0,MIKIR KIDS,mikir kids,-3,negative,0
NzMXdwZm8B0,Kita harus nunggu sampai 13  tahun atau 16 tahun itu lebih parah banget aku nggak suka idenya,kita harus nunggu sampai 13 tahun atau 16 tahun itu lebih parah banget aku nggak suka idenya,-16,negative,0
NzMXdwZm8B0,Aku nggak setuju sama kamu pemerintah soalnya bocil bocil udah diejek karena gak punya robux dan ini bocil-bocil harus mengalami kayak gini nggak bisa top up gimana dong 🤬🤬,aku nggak setuju sama kamu pemerintah soalnya bocil bocil udah diejek karena gak punya robux dan ini bocil bocil harus mengalami kayak gini nggak bisa top up gimana dong,-14,negative,0
NzMXdwZm8B0,sok ngatur merasa paling benar nanti juga dapat karna karma itu nyata. paling karma nya di demo sama 1 Indonesia,sok ngatur merasa paling benar nanti juga dapat karna karma itu nyata paling karma nya di demo sama 1 indonesia,-14,negative,0
NzMXdwZm8B0,giliran judol di biarkan eek,giliran judol di biarkan eek,-5,negative,0
NzMXdwZm8B0,woi judol tu gimana beraninya sama anak kecil gk berani sama judol dasar pamerinta. hei orang banyak belajar dengan yoi tube dan lain lain emang kita salah apa  <br>kita yg tidak salah apa kena juga jangan takut buat komen sama sama MAKAN NASI,woi judol tu gimana beraninya sama anak kecil gk berani sama judol dasar pamerinta hei orang banyak belajar dengan yoi tube dan lain lain emang kita salah apa kita yg tidak salah apa kena juga jangan takut buat komen sama sama makan nasi,-21,negative,0
NzMXdwZm8B0,judi online kapan di blokir,judi online kapan di blokir,-3,negative,0
NzMXdwZm8B0,Seharus nya untuk umur 3 sampai 9 aja🫪,seharus nya untuk umur 3 sampai 9 aja,-5,negative,0
NzMXdwZm8B0,Setuju biar bocil ngehina agama GK ada lagi akun nya di ilangin awokwok 😂😂😂😂😂 nangis loh bocil² tomlol yang suka rasis sok² ngerti politik bocil² juga,setuju biar bocil ngehina agama gk ada lagi akun nya di ilangin awokwok nangis loh bocil tomlol yang suka rasis sok ngerti politik bocil juga,-22,negative,0
NzMXdwZm8B0,Nggak jelas yang salah mukena pink yang kena 1 negara,nggak jelas yang salah mukena pink yang kena 1 negara,-17,negative,0
NzMXdwZm8B0,Nggak j,nggak j,-3,negative,0
NzMXdwZm8B0,BOCIL MAU BELAJAR YOUTUBE DI NATHAN SUPARMAN BAHASA INGGRIS,bocil mau belajar youtube di nathan suparman bahasa inggris,-2,negative,0
NzMXdwZm8B0,Pengalihan dari Kasus korupsi kah?,pengalihan dari kasus korupsi kah,-7,negative,0
NzMXdwZm8B0,Udah ku laporkan,udah ku laporkan,2,positive,1
NzMXdwZm8B0,Padahal YouTube bikin aku bahagia loh pas aku lagi sedih 😡😡😡😡,padahal youtube bikin aku bahagia loh pas aku lagi sedih,-8,negative,0
NzMXdwZm8B0,"Judol dibiarin sosmed dihentiin,fomo pen jadi negara maju hdeh,kami setuju&quot; aja sosmed dibatasin lah ini judol dibiarin",judol dibiarin sosmed dihentiin fomo pen jadi negara maju hdeh kami setuju aja sosmed dibatasin lah ini judol dibiarin,-4,negative,0
NzMXdwZm8B0,Woi kok judol sama koruptor gak diurusin. Padahal YouTube Facebook semua aplikasi yang mau diblokir tapi koruptor sama judul kok nggak ya aneh,woi kok judol sama koruptor gak diurusin padahal youtube facebook semua aplikasi yang mau diblokir tapi koruptor sama judul kok nggak ya aneh,-16,negative,0
NzMXdwZm8B0,Q setuju bngt,q setuju bngt,-3,negative,0
NzMXdwZm8B0,jangan lah komdigi aku mau buat belajar 😢😢😢😢😢,jangan lah komdigi aku mau buat belajar,-1,negative,0
NzMXdwZm8B0,Heh tanggung jawab lu anak org lain pada nangis gegara lu urusin tuh judol 😡,heh tanggung jawab lu anak org lain pada nangis gegara lu urusin tuh judol,-25,negative,0
NzMXdwZm8B0,"Negara rusak ini gara gara orang gk jelas haur nya gaji guru dinaik kan supaya pelajaran menjadi lebih giat <a href=""https://www.youtube.com/watch?v=NzMXdwZm8B0&amp;t=104"">1:44</a>",negara rusak ini gara gara orang gk jelas haur nya gaji guru dinaik kan supaya pelajaran menjadi lebih giat,-6,negative,0
NzMXdwZm8B0,"Alhamdulillah ,.<br>Saya sangat setuju dengan aturan ini ,. Maju terus Indonesia ku ,. Untuk anak-anakku yang sabar ya ini untuk kebaikan kalian ❤🤗",alhamdulillah saya sangat setuju dengan aturan ini maju terus indonesia ku untuk anak anakku yang sabar ya ini untuk kebaikan kalian,-1,negative,0
NzMXdwZm8B0,Sia sia kita punya aplikasi kek gini🥀🥀🥀,sia sia kita punya aplikasi kek gini,-11,negative,0
NzMXdwZm8B0,Ini sudah cemas🥀,ini sudah cemas,-5,negative,0
NzMXdwZm8B0,Peraturan kurang bagus contohnya anak saya sedang mengikuti lomba olimpiade OSN individu pendaftaran mewajibkan punya akun email sendiri terus gimana jika di blokir anak saya berumur 12 THN 1smp,peraturan kurang bagus contohnya anak saya sedang mengikuti lomba olimpiade osn individu pendaftaran mewajibkan punya akun email sendiri terus gimana jika di blokir anak saya berumur 12 thn 1smp,-20,negative,0
NzMXdwZm8B0,Semoga nanti habis ini ada aplikasi buat anak anak belajar gratis,semoga nanti habis ini ada aplikasi buat anak anak belajar gratis,-10,negative,0
NzMXdwZm8B0,Apakah game mlbb dan ff boleh di mainkan,apakah game mlbb dan ff boleh di mainkan,4,positive,1
NzMXdwZm8B0,Kayak mana kalau dia pakai akun orang tuanya atau memakai HP orang          tuanya          belum bisa memakai HP 16 tahun umurnya belum sampai disana,kayak mana kalau dia pakai akun orang tuanya atau memakai hp orang tuanya belum bisa memakai hp 16 tahun umurnya belum sampai disana,-11,negative,0
NzMXdwZm8B0,guys guys jangan marah dulu tapi kata teman gua itu cuma fake siapa yang setuju disini<br>👇,guys guys jangan marah dulu tapi kata teman gua itu cuma fake siapa yang setuju disini,-25,negative,0
NzMXdwZm8B0,Gua belajar dari mana gitu orang aku tuh belajar di you tube,gua belajar dari mana gitu orang aku tuh belajar di you tube,-1,negative,0
NzMXdwZm8B0,Please Jangan Di Blokir Roblox 😭😭😭🙏🙏🙏🙏🥀🥀🥀,please jangan di blokir roblox,-9,negative,0
NzMXdwZm8B0,Nggak jelas orang jadi kalau mau belajar dari buku nggak bisa mau mengirimkan untuk kawan nggak bisa😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,nggak jelas orang jadi kalau mau belajar dari buku nggak bisa mau mengirimkan untuk kawan nggak bisa,-11,negative,0
NzMXdwZm8B0,Apala😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡h pemerintah ini Jadi orang kalau apa mau ngetik sesuatu misalnya memakai kalkulator gimana,apala h pemerintah ini jadi orang kalau apa mau ngetik sesuatu misalnya memakai kalkulator gimana,-7,negative,0
