video_id,comment,clean_comment
DfYhY-bKsZI,Tapi ini sawit makin banyak koruptor gak di usir terus masih banyak gw kasian Ama bocah bocah,tapi ini sawit makin banyak koruptor gak di usir terus masih banyak gw kasian ama bocah bocah
DfYhY-bKsZI,Nanti sepi sepi,nanti sepi sepi
DfYhY-bKsZI,Woi gak setuju tim gak setuju kumpul di sini kita ramaikan,woi gak setuju tim gak setuju kumpul di sini kita ramaikan
NzMXdwZm8B0,Woi para pemimpin ntar jangan percaya ya soalnya itu semua bohong,woi para pemimpin ntar jangan percaya ya soalnya itu semua bohong
NzMXdwZm8B0,TIDAK ROBLOX  DAN YUTUB,tidak roblox dan yutub
NzMXdwZm8B0,Ah elah judol gk di ban? Wah sangat bagus!,ah elah judol gk di ban wah sangat bagus
NzMXdwZm8B0,Dodol kenapa PO gaboleh supaya tidak stress di rumah ih gimana kita mau nonton apa 🤬🤬🤬🤬🤬,dodol kenapa po gaboleh supaya tidak stress di rumah ih gimana kita mau nonton apa
NzMXdwZm8B0,Mana nih Woi wes kelewatan sudah 28 Maret 2026,mana nih woi wes kelewatan sudah 28 maret 2026
NzMXdwZm8B0,pemerintah udah  keteraluan,pemerintah udah keteraluan
NzMXdwZm8B0,Cok hoax cok,cok hoax cok
NzMXdwZm8B0,Koruptor giliran judinggak dibasmi,koruptor giliran judinggak dibasmi
NzMXdwZm8B0,Nanggung banget 16 tahun tambahin 2 tahun kek jadinya 18 tahun. Kalo 16 tahun anak2 belum matang dalam hidup walaupun menurut persepsi orang umur 16 tahun udah matang tapi menurut ku kurang yang benar tuh 18 tahun soalnya matang dalam hidup,nanggung banget 16 tahun tambahin 2 tahun kek jadinya 18 tahun kalo 16 tahun anak2 belum matang dalam hidup walaupun menurut persepsi orang umur 16 tahun udah matang tapi menurut ku kurang yang benar tuh 18 tahun soalnya matang dalam hidup
NzMXdwZm8B0,kapan diterapkan dan bagaimana langkah Hukumnya?,kapan diterapkan dan bagaimana langkah hukumnya
NzMXdwZm8B0,"Mana buktinya katanya tanggal 28 Maret mau ngebatasi umur di aplikasi sosmed tapi aku dah lama nunggu ehh Mana hasilnya gaada pembohong publik😡😡🤬🤬 <a href=""https://www.youtube.com/watch?v=NzMXdwZm8B0&amp;t=96"">1:36</a>",mana buktinya katanya tanggal 28 maret mau ngebatasi umur di aplikasi sosmed tapi aku dah lama nunggu ehh mana hasilnya gaada pembohong publik
NzMXdwZm8B0,Bohong,bohong
NzMXdwZm8B0,Kena Pasih harus begitu 🤬🤬🤬🤬🤬🤬🤬😡😡😡😡😡😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡👎👎👎👎,kena pasih harus begitu
NzMXdwZm8B0,Tapi kalian harus sekolah ya,tapi kalian harus sekolah ya
NzMXdwZm8B0,Lah mana kok gak ada??,lah mana kok gak ada
NzMXdwZm8B0,Apakah kalian setuju kalau ff di bokir,apakah kalian setuju kalau ff di bokir
NzMXdwZm8B0,Kenape plua kene anak Indonesia yaang kena di band? Kenape tk anak negara yang lain? Saye sebagai anak Malaysia pun tk setuju drngan berita ni! Tk kan anak umur 15 14 dan 13 juga kenak band? Anak² ade juga yang belajar dari YouTube atau sosmed yang lainnya! Jadi kan sosmad tu tk payah di band apalah!🤬,kenape plua kene anak indonesia yaang kena di band kenape tk anak negara yang lain saye sebagai anak malaysia pun tk setuju drngan berita ni tk kan anak umur 15 14 dan 13 juga kenak band anak ade juga yang belajar dari youtube atau sosmed yang lainnya jadi kan sosmad tu tk payah di band apalah
NzMXdwZm8B0,Gak betul,gak betul
NzMXdwZm8B0,Sekarang 28 Maret guya,sekarang 28 maret guya
NzMXdwZm8B0,Hoax udah tanggal 28 maret 2026,hoax udah tanggal 28 maret 2026
NzMXdwZm8B0,Lah ini udah tanggal 28 Maret kok akun Roblox aku masih bisa,lah ini udah tanggal 28 maret kok akun roblox aku masih bisa
NzMXdwZm8B0,Roblox harus tetap ada di tanggal 28 maret dan YouTube tiktok istragam 😡😡😡,roblox harus tetap ada di tanggal 28 maret dan youtube tiktok istragam
NzMXdwZm8B0,"Aku tau ini baik untuk kita semua,tapi ada resiko juga yang malah membuat anak jadi susah berkembang.contoh contohnya seperti:<br><br>•Kreator kecil menghilang,Banyak anak kecil merintis mencari duit kecil kecilan,Dengan pemblokiran ini menimbulkan anak kecil mulai kehilang potensi besarnya.<br><br>•Edukasi jadi lebih terbatas,Banyak video video edukasi yang membantu anak bangsa kita contoh video edukasi,tutorial,dan sebagainya.Dengan pemblokiran ini menimbulkan anak kecil jadi susah dapat informasi atau bahkan harus cari informasi dari jauh banget.<br><br>•Platform lain lain akan mulai menghilang sedikit demi sedikit,Banyak sekali platform platform yang di isi anak kecil,Dengan kebijakan ini membuat platform tersebut mulai menghilang atau lebih parahnya platfor tersebut akan meninggalkan indonesia dan beralih ke negara lain yang membuat potensi indonesia berkurang drastis.<br><br>Pendapat aku soal kebijakan ini adalah:<br><br>Jangan diblokir tapi edukasi mendalam kepada anak anak,Contoh buat guru naik gaji dan mengajarkan anak untuk mengetahui apa bahaya media sosial.<br><br>Sekian denga saya mohon maaf aku bukan ahli atau semacamnya ini hanya perasaan dan pendapat saya saja mohon di dengar dan semoga bisa di komunikasikan.",aku tau ini baik untuk kita semua tapi ada resiko juga yang malah membuat anak jadi susah berkembang contoh contohnya seperti kreator kecil menghilang banyak anak kecil merintis mencari duit kecil kecilan dengan pemblokiran ini menimbulkan anak kecil mulai kehilang potensi besarnya edukasi jadi lebih terbatas banyak video video edukasi yang membantu anak bangsa kita contoh video edukasi tutorial dan sebagainya dengan pemblokiran ini menimbulkan anak kecil jadi susah dapat informasi atau bahkan harus cari informasi dari jauh banget platform lain lain akan mulai menghilang sedikit demi sedikit banyak sekali platform platform yang di isi anak kecil dengan kebijakan ini membuat platform tersebut mulai menghilang atau lebih parahnya platfor tersebut akan meninggalkan indonesia dan beralih ke negara lain yang membuat potensi indonesia berkurang drastis pendapat aku soal kebijakan ini adalah jangan diblokir tapi edukasi mendalam kepada anak anak contoh buat guru naik gaji dan mengajarkan anak untuk mengetahui apa bahaya media sosial sekian denga saya mohon maaf aku bukan ahli atau semacamnya ini hanya perasaan dan pendapat saya saja mohon di dengar dan semoga bisa di komunikasikan
NzMXdwZm8B0,Utamakan judi oon,utamakan judi oon
NzMXdwZm8B0,Hoax banget padahal,hoax banget padahal
NzMXdwZm8B0,Saya 11 tahun kok masih bisa bisa aja,saya 11 tahun kok masih bisa bisa aja
NzMXdwZm8B0,Nggak adil 😡🤬😡😡😡😡🤬🤬🤬🤬,nggak adil
NzMXdwZm8B0,itu bohongan,itu bohongan
NzMXdwZm8B0,Ter baik saya tau  bukan saya budek kalian saja yang gitu,ter baik saya tau bukan saya budek kalian saja yang gitu
NzMXdwZm8B0,Wah wah mau demo lagi😅,wah wah mau demo lagi
NzMXdwZm8B0,Udh berlaku kah?,udh berlaku kah
NzMXdwZm8B0,WOYY PEMERINTAH URUSIN JUDOL DULUUU KAN JUGA ADA GAME DI ROBLOX YANG BAGUSSSSS HADEHHHHHH#@@^@^@^@(@-^@@&amp;◇•♤•■\■%^%×^☆■\♤●■••■\♤&amp;#-\••♤♤••,woyy pemerintah urusin judol duluuu kan juga ada game di roblox yang bagusssss hadehhhhhh
NzMXdwZm8B0,Besokkkkkkk 😢😢😢😢😢😢😢 noooooooooooooooooooooooooooooooooooooo,besokkkkkkk noooooooooooooooooooooooooooooooooooooo
NzMXdwZm8B0,Urussin judol duluuuuuu,urussin judol duluuuuuu
NzMXdwZm8B0,Kan di roblox juga ngajarin kita bertahan hidup di youtube jg belajar gambar dan lain lainnya🤬🤬🤬🤬🤬🤬🤬<br>      <br>👇🏻<br> 👇🏻,kan di roblox juga ngajarin kita bertahan hidup di youtube jg belajar gambar dan lain lainnya
NzMXdwZm8B0,Yok Kita Demo!!!!!!😡😡😡😡😡😡,yok kita demo
NzMXdwZm8B0,"Menurutku, minimal urus dulu negara kaya urusin tikus koruptor, bukan malah bikin peraturan kaya gini, lagian ada juga yang belajar d medsos, kaya youtube, tiktok, ya walaupun banyak yang menyalahgunakan",menurutku minimal urus dulu negara kaya urusin tikus koruptor bukan malah bikin peraturan kaya gini lagian ada juga yang belajar d medsos kaya youtube tiktok ya walaupun banyak yang menyalahgunakan
NzMXdwZm8B0,MIKIR KIDS,mikir kids
NzMXdwZm8B0,Kita harus nunggu sampai 13  tahun atau 16 tahun itu lebih parah banget aku nggak suka idenya,kita harus nunggu sampai 13 tahun atau 16 tahun itu lebih parah banget aku nggak suka idenya
NzMXdwZm8B0,Aku nggak setuju sama kamu pemerintah soalnya bocil bocil udah diejek karena gak punya robux dan ini bocil-bocil harus mengalami kayak gini nggak bisa top up gimana dong 🤬🤬,aku nggak setuju sama kamu pemerintah soalnya bocil bocil udah diejek karena gak punya robux dan ini bocil bocil harus mengalami kayak gini nggak bisa top up gimana dong
NzMXdwZm8B0,sok ngatur merasa paling benar nanti juga dapat karna karma itu nyata. paling karma nya di demo sama 1 Indonesia,sok ngatur merasa paling benar nanti juga dapat karna karma itu nyata paling karma nya di demo sama 1 indonesia
NzMXdwZm8B0,giliran judol di biarkan eek,giliran judol di biarkan eek
NzMXdwZm8B0,woi judol tu gimana beraninya sama anak kecil gk berani sama judol dasar pamerinta. hei orang banyak belajar dengan yoi tube dan lain lain emang kita salah apa  <br>kita yg tidak salah apa kena juga jangan takut buat komen sama sama MAKAN NASI,woi judol tu gimana beraninya sama anak kecil gk berani sama judol dasar pamerinta hei orang banyak belajar dengan yoi tube dan lain lain emang kita salah apa kita yg tidak salah apa kena juga jangan takut buat komen sama sama makan nasi
NzMXdwZm8B0,Ff gk di batasi kan ??😭😭😭😭😭😭😭😭😭😭😭😭,ff gk di batasi kan
NzMXdwZm8B0,judi online kapan di blokir,judi online kapan di blokir
NzMXdwZm8B0,Seharus nya untuk umur 3 sampai 9 aja🫪,seharus nya untuk umur 3 sampai 9 aja
NzMXdwZm8B0,Setuju biar bocil ngehina agama GK ada lagi akun nya di ilangin awokwok 😂😂😂😂😂 nangis loh bocil² tomlol yang suka rasis sok² ngerti politik bocil² juga,setuju biar bocil ngehina agama gk ada lagi akun nya di ilangin awokwok nangis loh bocil tomlol yang suka rasis sok ngerti politik bocil juga
NzMXdwZm8B0,Nggak jelas yang salah mukena pink yang kena 1 negara,nggak jelas yang salah mukena pink yang kena 1 negara
NzMXdwZm8B0,Nggak j,nggak j
NzMXdwZm8B0,BOCIL MAU BELAJAR YOUTUBE DI NATHAN SUPARMAN BAHASA INGGRIS,bocil mau belajar youtube di nathan suparman bahasa inggris
NzMXdwZm8B0,Pengalihan dari Kasus korupsi kah?,pengalihan dari kasus korupsi kah
NzMXdwZm8B0,Udah ku laporkan,udah ku laporkan
NzMXdwZm8B0,Padahal YouTube bikin aku bahagia loh pas aku lagi sedih 😡😡😡😡,padahal youtube bikin aku bahagia loh pas aku lagi sedih
NzMXdwZm8B0,"Judol dibiarin sosmed dihentiin,fomo pen jadi negara maju hdeh,kami setuju&quot; aja sosmed dibatasin lah ini judol dibiarin",judol dibiarin sosmed dihentiin fomo pen jadi negara maju hdeh kami setuju aja sosmed dibatasin lah ini judol dibiarin
NzMXdwZm8B0,Woi kok judol sama koruptor gak diurusin. Padahal YouTube Facebook semua aplikasi yang mau diblokir tapi koruptor sama judul kok nggak ya aneh,woi kok judol sama koruptor gak diurusin padahal youtube facebook semua aplikasi yang mau diblokir tapi koruptor sama judul kok nggak ya aneh
NzMXdwZm8B0,Q setuju bngt,q setuju bngt
NzMXdwZm8B0,jangan lah komdigi aku mau buat belajar 😢😢😢😢😢,jangan lah komdigi aku mau buat belajar
NzMXdwZm8B0,Heh tanggung jawab lu anak org lain pada nangis gegara lu urusin tuh judol 😡,heh tanggung jawab lu anak org lain pada nangis gegara lu urusin tuh judol
NzMXdwZm8B0,pemerintah dodol,pemerintah dodol
NzMXdwZm8B0,"Negara rusak ini gara gara orang gk jelas haur nya gaji guru dinaik kan supaya pelajaran menjadi lebih giat <a href=""https://www.youtube.com/watch?v=NzMXdwZm8B0&amp;t=104"">1:44</a>",negara rusak ini gara gara orang gk jelas haur nya gaji guru dinaik kan supaya pelajaran menjadi lebih giat
NzMXdwZm8B0,Emang kanapa sih,emang kanapa sih
NzMXdwZm8B0,"Alhamdulillah ,.<br>Saya sangat setuju dengan aturan ini ,. Maju terus Indonesia ku ,. Untuk anak-anakku yang sabar ya ini untuk kebaikan kalian ❤🤗",alhamdulillah saya sangat setuju dengan aturan ini maju terus indonesia ku untuk anak anakku yang sabar ya ini untuk kebaikan kalian
NzMXdwZm8B0,Sia sia kita punya aplikasi kek gini🥀🥀🥀,sia sia kita punya aplikasi kek gini
NzMXdwZm8B0,Ini sudah cemas🥀,ini sudah cemas
NzMXdwZm8B0,Peraturan kurang bagus contohnya anak saya sedang mengikuti lomba olimpiade OSN individu pendaftaran mewajibkan punya akun email sendiri terus gimana jika di blokir anak saya berumur 12 THN 1smp,peraturan kurang bagus contohnya anak saya sedang mengikuti lomba olimpiade osn individu pendaftaran mewajibkan punya akun email sendiri terus gimana jika di blokir anak saya berumur 12 thn 1smp
NzMXdwZm8B0,Owalah bocah jembot,owalah bocah jembot
NzMXdwZm8B0,Semoga nanti habis ini ada aplikasi buat anak anak belajar gratis,semoga nanti habis ini ada aplikasi buat anak anak belajar gratis
NzMXdwZm8B0,Apakah game mlbb dan ff boleh di mainkan,apakah game mlbb dan ff boleh di mainkan
NzMXdwZm8B0,Kayak mana kalau dia pakai akun orang tuanya atau memakai HP orang          tuanya          belum bisa memakai HP 16 tahun umurnya belum sampai disana,kayak mana kalau dia pakai akun orang tuanya atau memakai hp orang tuanya belum bisa memakai hp 16 tahun umurnya belum sampai disana
