video_id,comment,clean_comment,label
DfYhY-bKsZI,Setujuh karena anak anak sudah terobsesi dengan tontonan 🔞,setujuh karena anak anak sudah terobsesi dengan tontonan,positive
DfYhY-bKsZI,Ah ela gw baru umur 8 thun ini co co😢,ah ela gw baru umur 8 thun ini co co,negative
DfYhY-bKsZI,Saya tidak terima!!!!!!! Facebook YouTube nggak boleh diblokir harus dijalanin lagi kalau belajar membuat kepala pusing atau stress harus dihentikan pemerintah 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,saya tidak terima facebook youtube nggak boleh diblokir harus dijalanin lagi kalau belajar membuat kepala pusing atau stress harus dihentikan pemerintah,negative
DfYhY-bKsZI,ANJ😞👈,anj,negative
DfYhY-bKsZI,Serah lah bodoamat akuh,serah lah bodoamat akuh,neutral
DfYhY-bKsZI,"Klo dihapus demo gak sihhh, yg demo kumpul<br>👇",klo dihapus demo gak sihhh yg demo kumpul,negative
DfYhY-bKsZI,Bukan nya hapus korup atau judi malah hapus sosmed di bawah 16 bodo,bukan nya hapus korup atau judi malah hapus sosmed di bawah 16 bodo,negative
DfYhY-bKsZI,Mantap,mantap,positive
DfYhY-bKsZI,Pala kau lah terbaik,pala kau lah terbaik,negative
DfYhY-bKsZI,Dasar  pemrintah  gatau diri 😡😡😡😡🤬😡😡🤬😡,dasar pemrintah gatau diri,negative
DfYhY-bKsZI,Ayo hujat habis habisan😡😡😡🤬😡🤬🤬😡😡😡,ayo hujat habis habisan,negative
DfYhY-bKsZI,"Terus gue ulangan pake apa?,gue ulangan pake hp anjg,itu juga disuruh cari jawaban dimedsos!!",terus gue ulangan pake apague ulangan pake hp anjgitu juga disuruh cari jawaban dimedsos,negative
DfYhY-bKsZI,Klo anak di bawah 16 tahun gak bisa nonton   youtube  terus aku belajar bahasa Russia nya gemana,klo anak di bawah 16 tahun gak bisa nonton youtube terus aku belajar bahasa russia nya gemana,negative
DfYhY-bKsZI,Dasar gatau diri😡😡😡😡🤬🤬😡😡😡🤬😡🤬🤬😡😡🤬,dasar gatau diri,negative
DfYhY-bKsZI,Iya peraturan nya sangat jelek😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬😡🤬🤬😡🤬😡🤬😡🤬🤬🤬🤬😡😡😡😡😡😡🤬🤬😡🤬🤬😡🤬🤬🤬😡🤬🤬😡😡😡😡🤬,iya peraturan nya sangat jelek,negative
DfYhY-bKsZI,Peraturan nya jelek 😡😡😡🤬😡🤬🤬😡🤬😡🤬🤬😡🤬😡,peraturan nya jelek
DfYhY-bKsZI,Dasar lu ya😡,dasar lu ya,negative
DfYhY-bKsZI,Lu emang mau demo lagi😡,lu emang mau demo lagi,negative
DfYhY-bKsZI,Seharusnya kalau mau anak anak aman Ben atau blokir akun yang berbahaya,seharusnya kalau mau anak anak aman ben atau blokir akun yang berbahaya,negative
DfYhY-bKsZI,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭plissssssssssssssss jangan di hapus,plissssssssssssssss jangan di hapus,negative
DfYhY-bKsZI,Harus nya di ajarin yg ilegal atau yg bahaya dan yg aman dan GK bahaya bukan seenaknya doang di blockir lu tuh mau GK di berhentiin aja jadi pemerintah seenak nya kita rakyat biasa GK mau kan?,harus nya di ajarin yg ilegal atau yg bahaya dan yg aman dan gk bahaya bukan seenaknya doang di blockir lu tuh mau gk di berhentiin aja jadi pemerintah seenak nya kita rakyat biasa gk mau kan,negative
DfYhY-bKsZI,Halah gua aja ya nonton biasa kayak penting info ada apa (CONTOH) katanya ada gerhana bulan nah kan kita gak tahu jadi gerhana yang kita tunggu tunggu malah Terlewat <br>Dan kata kata hari ini : kenapa Indonesia tidak maju karena fideo yang penting untuk anak anak seperti gerhana bulan atau matematika tidak bisah tau orang yang mau liat kereta taupun kendaraan lain gitu <br>. Kenapa gak begini urusin judi  dulu nah ke. 2. Video yang tidak pantas untuk di tonton anak anak harus nya di hapus atau di praifet gitu loh 🤬🤬🤬🤬🤬🤬🙏🤬🤬🤬😑😅,halah gua aja ya nonton biasa kayak penting info ada apa contoh katanya ada gerhana bulan nah kan kita gak tahu jadi gerhana yang kita tunggu tunggu malah terlewat dan kata kata hari ini kenapa indonesia tidak maju karena fideo yang penting untuk anak anak seperti gerhana bulan atau matematika tidak bisah tau orang yang mau liat kereta taupun kendaraan lain gitu kenapa gak begini urusin judi dulu nah ke 2 video yang tidak pantas untuk di tonton anak anak harus nya di hapus atau di praifet gitu loh,negative
DfYhY-bKsZI,Hoooo pemerintah jahat hoooo!!! 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡👎🥀🥀👎🥀🥀,hoooo pemerintah jahat hoooo,negative
DfYhY-bKsZI,Tapi jangan juga di nonaktifkan,tapi jangan juga di nonaktifkan,negative
DfYhY-bKsZI,Kami tidak setujuh tidak setuju,kami tidak setujuh tidak setuju,negative
DfYhY-bKsZI,SAYA TIDAK TERIMA!!!!!!!!!!!!!,saya tidak terima,negative
DfYhY-bKsZI,Lebih baik anak anak tidak di boleh membuat konten yg tidak pantas untuk anak di bawah 16 tahun gimana ya hanya menyarankan,lebih baik anak anak tidak di boleh membuat konten yg tidak pantas untuk anak di bawah 16 tahun gimana ya hanya menyarankan,neutral
DfYhY-bKsZI,Kenapa sekalinya korupsi narkoba  gak cepat bergerak. tapi kalau tentang pembatasan digital pemerintah sok asik,kenapa sekalinya korupsi narkoba gak cepat bergerak tapi kalau tentang pembatasan digital pemerintah sok asik,negative
DfYhY-bKsZI,Gw gk setuju kenapa yutube sama roblox sama tiktok dan sosmed gw gk setuju anj😡wtf gw gk setujuuuuuuuuuuu kenapa harus seperti ini kenapa harus di blokir kita semua punya hal masing masing itu tergantung dewasa nya kenapa ha aku bilang kenapa kamu buka orang penting kesian orang yang di bawah umur16 tahun kalo mau kasih praturan itu mikir napa woi kenapa harus yutube sama tik tok sama roblox woi awas kalo gk baca lu lo bukan orang penting,gw gk setuju kenapa yutube sama roblox sama tiktok dan sosmed gw gk setuju anjwtf gw gk setujuuuuuuuuuuu kenapa harus seperti ini kenapa harus di blokir kita semua punya hal masing masing itu tergantung dewasa nya kenapa ha aku bilang kenapa kamu buka orang penting kesian orang yang di bawah umur16 tahun kalo mau kasih praturan itu mikir napa woi kenapa harus yutube sama tik tok sama roblox woi awas kalo gk baca lu lo bukan orang penting,negative
DfYhY-bKsZI,Tapi ini sawit makin banyak koruptor gak di usir terus masih banyak gw kasian Ama bocah bocah,tapi ini sawit makin banyak koruptor gak di usir terus masih banyak gw kasian ama bocah bocah,negative
DfYhY-bKsZI,Woi gak setuju tim gak setuju kumpul di sini kita ramaikan,woi gak setuju tim gak setuju kumpul di sini kita ramaikan,negative
NzMXdwZm8B0,TIDAK ROBLOX  DAN YUTUB,tidak roblox dan yutub,negative
NzMXdwZm8B0,pemerintah udah  keteraluan,pemerintah udah keteraluan,negative
NzMXdwZm8B0,Nanggung banget 16 tahun tambahin 2 tahun kek jadinya 18 tahun. Kalo 16 tahun anak2 belum matang dalam hidup walaupun menurut persepsi orang umur 16 tahun udah matang tapi menurut ku kurang yang benar tuh 18 tahun soalnya matang dalam hidup,nanggung banget 16 tahun tambahin 2 tahun kek jadinya 18 tahun kalo 16 tahun anak2 belum matang dalam hidup walaupun menurut persepsi orang umur 16 tahun udah matang tapi menurut ku kurang yang benar tuh 18 tahun soalnya matang dalam hidup,positive
NzMXdwZm8B0,Kenape plua kene anak Indonesia yaang kena di band? Kenape tk anak negara yang lain? Saye sebagai anak Malaysia pun tk setuju drngan berita ni! Tk kan anak umur 15 14 dan 13 juga kenak band? Anak² ade juga yang belajar dari YouTube atau sosmed yang lainnya! Jadi kan sosmad tu tk payah di band apalah!🤬,kenape plua kene anak indonesia yaang kena di band kenape tk anak negara yang lain saye sebagai anak malaysia pun tk setuju drngan berita ni tk kan anak umur 15 14 dan 13 juga kenak band anak ade juga yang belajar dari youtube atau sosmed yang lainnya jadi kan sosmad tu tk payah di band apalah,negative
NzMXdwZm8B0,"Aku tau ini baik untuk kita semua,tapi ada resiko juga yang malah membuat anak jadi susah berkembang.contoh contohnya seperti:<br><br>•Kreator kecil menghilang,Banyak anak kecil merintis mencari duit kecil kecilan,Dengan pemblokiran ini menimbulkan anak kecil mulai kehilang potensi besarnya.<br><br>•Edukasi jadi lebih terbatas,Banyak video video edukasi yang membantu anak bangsa kita contoh video edukasi,tutorial,dan sebagainya.Dengan pemblokiran ini menimbulkan anak kecil jadi susah dapat informasi atau bahkan harus cari informasi dari jauh banget.<br><br>•Platform lain lain akan mulai menghilang sedikit demi sedikit,Banyak sekali platform platform yang di isi anak kecil,Dengan kebijakan ini membuat platform tersebut mulai menghilang atau lebih parahnya platfor tersebut akan meninggalkan indonesia dan beralih ke negara lain yang membuat potensi indonesia berkurang drastis.<br><br>Pendapat aku soal kebijakan ini adalah:<br><br>Jangan diblokir tapi edukasi mendalam kepada anak anak,Contoh buat guru naik gaji dan mengajarkan anak untuk mengetahui apa bahaya media sosial.<br><br>Sekian denga saya mohon maaf aku bukan ahli atau semacamnya ini hanya perasaan dan pendapat saya saja mohon di dengar dan semoga bisa di komunikasikan.",aku tau ini baik untuk kita semuatapi ada resiko juga yang malah membuat anak jadi susah berkembangcontoh contohnya sepertikreator kecil menghilangbanyak anak kecil merintis mencari duit kecil kecilandengan pemblokiran ini menimbulkan anak kecil mulai kehilang potensi besarnyaedukasi jadi lebih terbatasbanyak video video edukasi yang membantu anak bangsa kita contoh video edukasitutorialdan sebagainyadengan pemblokiran ini menimbulkan anak kecil jadi susah dapat informasi atau bahkan harus cari informasi dari jauh bangetplatform lain lain akan mulai menghilang sedikit demi sedikitbanyak sekali platform platform yang di isi anak kecildengan kebijakan ini membuat platform tersebut mulai menghilang atau lebih parahnya platfor tersebut akan meninggalkan indonesia dan beralih ke negara lain yang membuat potensi indonesia berkurang drastispendapat aku soal kebijakan ini adalahjangan diblokir tapi edukasi mendalam kepada anak anakcontoh buat guru naik gaji dan mengajarkan anak untuk mengetahui apa bahaya media sosialsekian denga saya mohon maaf aku bukan ahli atau semacamnya ini hanya perasaan dan pendapat saya saja mohon di dengar dan semoga bisa di komunikasikan,negative
NzMXdwZm8B0,Nggak adil 😡🤬😡😡😡😡🤬🤬🤬🤬,nggak adil,negative
NzMXdwZm8B0,Kan di roblox juga ngajarin kita bertahan hidup di youtube jg belajar gambar dan lain lainnya🤬🤬🤬🤬🤬🤬🤬<br>      <br>👇🏻<br> 👇🏻,kan di roblox juga ngajarin kita bertahan hidup di youtube jg belajar gambar dan lain lainnya,negative
NzMXdwZm8B0,Yok Kita Demo!!!!!!😡😡😡😡😡😡,yok kita demo,negative
NzMXdwZm8B0,"Menurutku, minimal urus dulu negara kaya urusin tikus koruptor, bukan malah bikin peraturan kaya gini, lagian ada juga yang belajar d medsos, kaya youtube, tiktok, ya walaupun banyak yang menyalahgunakan",menurutku minimal urus dulu negara kaya urusin tikus koruptor bukan malah bikin peraturan kaya gini lagian ada juga yang belajar d medsos kaya youtube tiktok ya walaupun banyak yang menyalahgunakan,negative
NzMXdwZm8B0,Kita harus nunggu sampai 13  tahun atau 16 tahun itu lebih parah banget aku nggak suka idenya,kita harus nunggu sampai 13 tahun atau 16 tahun itu lebih parah banget aku nggak suka idenya,negative
NzMXdwZm8B0,Aku nggak setuju sama kamu pemerintah soalnya bocil bocil udah diejek karena gak punya robux dan ini bocil-bocil harus mengalami kayak gini nggak bisa top up gimana dong 🤬🤬,aku nggak setuju sama kamu pemerintah soalnya bocil bocil udah diejek karena gak punya robux dan ini bocilbocil harus mengalami kayak gini nggak bisa top up gimana dong,negative
NzMXdwZm8B0,sok ngatur merasa paling benar nanti juga dapat karna karma itu nyata. paling karma nya di demo sama 1 Indonesia,sok ngatur merasa paling benar nanti juga dapat karna karma itu nyata paling karma nya di demo sama 1 indonesia,negative
NzMXdwZm8B0,woi judol tu gimana beraninya sama anak kecil gk berani sama judol dasar pamerinta. hei orang banyak belajar dengan yoi tube dan lain lain emang kita salah apa  <br>kita yg tidak salah apa kena juga jangan takut buat komen sama sama MAKAN NASI,woi judol tu gimana beraninya sama anak kecil gk berani sama judol dasar pamerinta hei orang banyak belajar dengan yoi tube dan lain lain emang kita salah apa kita yg tidak salah apa kena juga jangan takut buat komen sama sama makan nasi,negative
NzMXdwZm8B0,Seharus nya untuk umur 3 sampai 9 aja🫪,seharus nya untuk umur 3 sampai 9 aja,negative
NzMXdwZm8B0,Setuju biar bocil ngehina agama GK ada lagi akun nya di ilangin awokwok 😂😂😂😂😂 nangis loh bocil² tomlol yang suka rasis sok² ngerti politik bocil² juga,setuju biar bocil ngehina agama gk ada lagi akun nya di ilangin awokwok nangis loh bocil tomlol yang suka rasis sok ngerti politik bocil juga,positive
NzMXdwZm8B0,Nggak jelas yang salah mukena pink yang kena 1 negara,nggak jelas yang salah mukena pink yang kena 1 negara,negative
NzMXdwZm8B0,BOCIL MAU BELAJAR YOUTUBE DI NATHAN SUPARMAN BAHASA INGGRIS,bocil mau belajar youtube di nathan suparman bahasa inggris,negative
NzMXdwZm8B0,Padahal YouTube bikin aku bahagia loh pas aku lagi sedih 😡😡😡😡,padahal youtube bikin aku bahagia loh pas aku lagi sedih,negative
NzMXdwZm8B0,"Judol dibiarin sosmed dihentiin,fomo pen jadi negara maju hdeh,kami setuju&quot; aja sosmed dibatasin lah ini judol dibiarin",judol dibiarin sosmed dihentiinfomo pen jadi negara maju hdehkami setuju aja sosmed dibatasin lah ini judol dibiarin,positive
NzMXdwZm8B0,Q setuju bngt,q setuju bngt,positive
NzMXdwZm8B0,jangan lah komdigi aku mau buat belajar 😢😢😢😢😢,jangan lah komdigi aku mau buat belajar,negative
NzMXdwZm8B0,pemerintah dodol,pemerintah dodol,negative
NzMXdwZm8B0,"Alhamdulillah ,.<br>Saya sangat setuju dengan aturan ini ,. Maju terus Indonesia ku ,. Untuk anak-anakku yang sabar ya ini untuk kebaikan kalian ❤🤗",alhamdulillah saya sangat setuju dengan aturan ini maju terus indonesia ku untuk anakanakku yang sabar ya ini untuk kebaikan kalian,positive
NzMXdwZm8B0,Sia sia kita punya aplikasi kek gini🥀🥀🥀,sia sia kita punya aplikasi kek gini,negative
NzMXdwZm8B0,Peraturan kurang bagus contohnya anak saya sedang mengikuti lomba olimpiade OSN individu pendaftaran mewajibkan punya akun email sendiri terus gimana jika di blokir anak saya berumur 12 THN 1smp,peraturan kurang bagus contohnya anak saya sedang mengikuti lomba olimpiade osn individu pendaftaran mewajibkan punya akun email sendiri terus gimana jika di blokir anak saya berumur 12 thn 1smp,negative
NzMXdwZm8B0,Owalah bocah jembot,owalah bocah jembot,negative
NzMXdwZm8B0,Semoga nanti habis ini ada aplikasi buat anak anak belajar gratis,semoga nanti habis ini ada aplikasi buat anak anak belajar gratis,positive
NzMXdwZm8B0,Gua belajar dari mana gitu orang aku tuh belajar di you tube,gua belajar dari mana gitu orang aku tuh belajar di you tube,negative
NzMXdwZm8B0,Please Jangan Di Blokir Roblox 😭😭😭🙏🙏🙏🙏🥀🥀🥀,please jangan di blokir roblox,negative
NzMXdwZm8B0,Nggak jelas orang jadi kalau mau belajar dari buku nggak bisa mau mengirimkan untuk kawan nggak bisa😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,nggak jelas orang jadi kalau mau belajar dari buku nggak bisa mau mengirimkan untuk kawan nggak bisa,negative
NzMXdwZm8B0,Apala😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡h pemerintah ini Jadi orang kalau apa mau ngetik sesuatu misalnya memakai kalkulator gimana,apalah pemerintah ini jadi orang kalau apa mau ngetik sesuatu misalnya memakai kalkulator gimana,negative
NzMXdwZm8B0,Masa gini doang di banned urusi judol aja,masa gini doang di banned urusi judol aja,negative
NzMXdwZm8B0,Judi SMA DPR GK di urusi dulu lh in malah gini dlu yg di pentingkan😡,judi sma dpr gk di urusi dulu lh in malah gini dlu yg di pentingkan,negative
NzMXdwZm8B0,Ih peraturan gak jelas 😡,ih peraturan gak jelas,negative
NzMXdwZm8B0,Ini bohongan kalau benaran gw gerebek,ini bohongan kalau benaran gw gerebek,negative
NzMXdwZm8B0,"<a href=""https://www.youtube.com/watch?v=NzMXdwZm8B0&amp;t=71"">1:11</a> :Masa roblox di blokir tapi mobile legend, free fire, pubg nggak di blokir, padahal hal negatifnya lebih besar 3 game itu daripada roblox, emang nih negara konoha😮‍💨Masa roblox di blokir tapi mobile legend, free fire, pubg nggak di blokir, padahal hal negatifnya lebih besar 3 game itu daripada roblox, emang nih namanya juga negara konoha😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨",masa roblox di blokir tapi mobile legend free fire pubg nggak di blokir padahal hal negatifnya lebih besar 3 game itu daripada roblox emang nih negara konohamasa roblox di blokir tapi mobile legend free fire pubg nggak di blokir padahal hal negatifnya lebih besar 3 game itu daripada roblox emang nih namanya juga negara konoha,negative
NzMXdwZm8B0,"jgn salah paham woiii, kata perintah cuma di batasiiiii bukan selamanya aaaa😹😹",jgn salah paham woiii kata perintah cuma di batasiiiii bukan selamanya aaaa,positive
NzMXdwZm8B0,Nggak jelas banget 😡😡😡😡😡😡😡😡😡 pemerintah Thai,nggak jelas banget pemerintah thai,negative
NzMXdwZm8B0,Tapi kan anak-anak udah ambil video yang benar lagian jugaItukan aktivitas kita sehari-hari 😢😢 ❤️💔😂,tapi kan anakanak udah ambil video yang benar lagian jugaitukan aktivitas kita seharihari,negative
NzMXdwZm8B0,Aku benci 😡😡,aku benci,negative
NzMXdwZm8B0,Akun yutube anak ku hilang. Padahal isinya video2 Salawat. Ankki jadi nangis kerena video salawat dan video klip yg dibuatnya hilang beserta akunnya😢😢😢😢,akun yutube anak ku hilang padahal isinya video2 salawat ankki jadi nangis kerena video salawat dan video klip yg dibuatnya hilang beserta akunnya,negative
R1hQwelEGvU,Tidak..... Banyak bocah tantrum di komentar 😭,tidak banyak bocah tantrum di komentar,positive
R1hQwelEGvU,Bubarkan mabar jangan ada games online,bubarkan mabar jangan ada games online,positive
R1hQwelEGvU,LAH NGATUR,lah ngatur,negative
R1hQwelEGvU,Lu jangan Ngatur akun saya banyak konten HP kalo saya ulang buat baru akun jangan buat Gaduh saya dalah Gw gak Setuju,lu jangan ngatur akun saya banyak konten hp kalo saya ulang buat baru akun jangan buat gaduh saya dalah gw gak setuju,negative
R1hQwelEGvU,Kembalikan aja aku mau nonton lagi itu medsos bang,kembalikan aja aku mau nonton lagi itu medsos bang,negative
R1hQwelEGvU,Makasih banyak min,makasih banyak min,positive
R1hQwelEGvU,"Ku doa, in   Semoga kamu dan tim pendek umur amiin 😇😇😇",ku doa in semoga kamu dan tim pendek umur amiin,negative
R1hQwelEGvU,Tu kan apakah kata saya benar ✅ kalian jgn sampai ngasih hp / tapi ke anak² di bawah 👇👇👇usia 16 thn,tu kan apakah kata saya benar kalian jgn sampai ngasih hp tapi ke anak di bawah usia 16 thn,positive
R1hQwelEGvU,"Bagus nih, biar pecandu porno berkurang",bagus nih biar pecandu porno berkurang,positive
R1hQwelEGvU,Ibarat anak kita mau makan ikan pasti kita ajarin jangan makan durinya bukan berarti gk boleh makan ikan. Nah jadi sama seharusnya dibatasi bukan di nonaktifkan,ibarat anak kita mau makan ikan pasti kita ajarin jangan makan durinya bukan berarti gk boleh makan ikan nah jadi sama seharusnya dibatasi bukan di nonaktifkan,negative
R1hQwelEGvU,Kenapa ff sama PUBG nggk juga? Pdhl itu game kekerasan yg ada tembakan tembakan nya dan malah rblx ada fitur parental terus juga kreatif bisa bikin game sendiri koding sendiri? PEMERINTAH INDONESIA PADA GK BENER mungkin gara gara Sule kecolongan 50 juta langsung maju pemerintah nya itu artis tapi pas yg kasus anak nyolong 19 juta buat PUBG GK maju pemerintah nya itu rakyat biasa bukan artis. URUSIN DULU TUH JUDI BUKAN GAME DULU! KALO GK BENER JDI PEMERINTAH GK USAH JADI PEMERINTAH. SAMA URUS DULU TUH PEMERINTAH YG KORUP. YANG SETUJU LIKE,kenapa ff sama pubg nggk juga pdhl itu game kekerasan yg ada tembakan tembakan nya dan malah rblx ada fitur parental terus juga kreatif bisa bikin game sendiri koding sendiri pemerintah indonesia pada gk bener mungkin gara gara sule kecolongan 50 juta langsung maju pemerintah nya itu artis tapi pas yg kasus anak nyolong 19 juta buat pubg gk maju pemerintah nya itu rakyat biasa bukan artis urusin dulu tuh judi bukan game dulu kalo gk bener jdi pemerintah gk usah jadi pemerintah sama urus dulu tuh pemerintah yg korup yang setuju like,negative
R1hQwelEGvU,Berhentikan ini kita akan berbakti dengan orang tua tapi dengan satu syarat hp kita gak boleh dinonaktifkan kalau gak mau gak usah dipaksakan😇😇😇,berhentikan ini kita akan berbakti dengan orang tua tapi dengan satu syarat hp kita gak boleh dinonaktifkan kalau gak mau gak usah dipaksakan,negative
R1hQwelEGvU,Roblox ban: okay i dont mind<br>SocMed ban: oh hel no,roblox ban okay i dont mindsocmed ban oh hel no,negative
R1hQwelEGvU,Kita demo saja,kita demo saja,negative
R1hQwelEGvU,"Medsos terlalu mengerikan untuk anak-anak dibawah umur, jadi ini adalah langkah terbaik untuk anak Indonesia 🇮🇩",medsos terlalu mengerikan untuk anakanak dibawah umur jadi ini adalah langkah terbaik untuk anak indonesia,positive
R1hQwelEGvU,Respect untuk komdigi yang ingin mencerdaskan bangsa🫡🇮🇩🇮🇩,respect untuk komdigi yang ingin mencerdaskan bangsa,positive
R1hQwelEGvU,Baru kali ini aku setuju dg kebijakan Pemerintah❤,baru kali ini aku setuju dg kebijakan pemerintah,positive
R1hQwelEGvU,Gak teriman  roblox mau di bolokir😡😡aku udah top robax harga 100   333robax,gak teriman roblox mau di bolokiraku udah top robax harga 100 333robax,negative
R1hQwelEGvU,😭😭😭😭 ko gitu mau di bolokir,ko gitu mau di bolokir,negative
R1hQwelEGvU,Kalau kayak gini aku pindah ke Minecraft,kalau kayak gini aku pindah ke minecraft,negative
R1hQwelEGvU,"Ada dua APK yang saya tidak setuju jika akan di blokir. 1 YouTube: beberapa sekolah banyak yang memberikan tutorial/tugas anak sekolah dari YouTube,maka dengan tidak adanya YouTube maka pendidikan Indonesia akan terhalang (INGAT SAAT INI PENDIDIKAN INDONESIA BISA DI KATAKAN BURUK JIKA DI BANDINGKAN KE NEGARA LAIN). 2 Roblox: Sebenernya jawabannya simpel, dari video di atas mengatakan bahwa sosial media akan di blokir, sedangkan Roblox itu game yang berjenis multiplayer, artinya percuma jika yang di blokir hanya Roblox, karena ada 1M+ Game yang menggunakan sistem multiplayer dan kemungkinan para pemain yang gamenya terkena blokir akan mencari game yang bersistem multiplayer juga yang artinya para pemain akan tetap bisa bermain bersama, Simpelnya (Roblox game multiplayer, jika di blokir orang akan mencari game multiplayer yang lain).",ada dua apk yang saya tidak setuju jika akan di blokir 1 youtube beberapa sekolah banyak yang memberikan tutorialtugas anak sekolah dari youtubemaka dengan tidak adanya youtube maka pendidikan indonesia akan terhalang ingat saat ini pendidikan indonesia bisa di katakan buruk jika di bandingkan ke negara lain 2 roblox sebenernya jawabannya simpel dari video di atas mengatakan bahwa sosial media akan di blokir sedangkan roblox itu game yang berjenis multiplayer artinya percuma jika yang di blokir hanya roblox karena ada 1m game yang menggunakan sistem multiplayer dan kemungkinan para pemain yang gamenya terkena blokir akan mencari game yang bersistem multiplayer juga yang artinya para pemain akan tetap bisa bermain bersama simpelnya roblox game multiplayer jika di blokir orang akan mencari game multiplayer yang lain,negative
R1hQwelEGvU,Mbak nya rela dibenci anak² untuk memperbaiki mereka terimakasih banyak 🥹🥹🥹,mbak nya rela dibenci anak untuk memperbaiki mereka terimakasih banyak,positive
R1hQwelEGvU,Terus aku mau jadi YouTuber gimana caranya,terus aku mau jadi youtuber gimana caranya,negative
R1hQwelEGvU,Pilih kasih kenapa harus robloxx harusnya game lain juga pemerintah pilih kasihhh ga adiilll 😌,pilih kasih kenapa harus robloxx harusnya game lain juga pemerintah pilih kasihhh ga adiilll,negative
R1hQwelEGvU,HMM ATURAN APA INI HAH LAMA LAMA DEMO LAGI INI MAH,hmm aturan apa ini hah lama lama demo lagi ini mah,negative
